scenario,controller,seed,crashed,min_distance,ttc_min,a_y_peak,j_y_peak,t_lc,near_miss
cutin,mppi,0,0,3.82642754,1.207529519,14.62902999,91.92826558,nan,1
cutin,mppi,1,0,3.176596646,0.477772755,15.33680963,80.45080167,nan,1
cutin,mppi,2,1,4.762164878,0.012173122,15.21122368,95.34642533,nan,0
cutin,mppi,3,0,4.046323119,0.007044376,38.22375561,91.40177037,nan,1
cutin,mppi,4,0,3.417942015,1.000305477,18.74145606,88.87369543,nan,1
cutin,mppi,5,0,3.512438592,1.271878201,16.76767051,94.91088115,nan,1
cutin,mppi,6,0,3.500719572,0.677379137,16.36428542,94.82591942,nan,1
cutin,mppi,7,0,7.316970836,2.471358996,27.62604509,93.68249774,nan,0
cutin,mppi,8,0,7.040210979,7.008318577,20.98307865,89.58115992,nan,0
cutin,mppi,9,0,6.260071535,5.970692105,27.30336935,93.97507276,nan,0
cutin,cvar_mppi,0,0,3.82642754,1.207529519,14.62902999,91.92826558,nan,1
cutin,cvar_mppi,1,0,3.305928401,0.477772755,14.14341052,96.8741362,nan,1
cutin,cvar_mppi,2,0,4.219002513,0.750469374,17.07750347,68.36508825,nan,1
cutin,cvar_mppi,3,0,4.060571686,6.288599869,30.83649512,83.11161301,nan,1
cutin,cvar_mppi,4,0,3.417942014,1.000305477,18.74145606,88.87369543,nan,1
cutin,cvar_mppi,5,0,3.512438592,1.271878201,16.76767051,94.91088115,nan,1
cutin,cvar_mppi,6,0,3.426720314,0.677379137,16.56946511,94.82591942,nan,1
cutin,cvar_mppi,7,0,7.316970836,2.471353613,27.62604509,93.68249774,nan,0
cutin,cvar_mppi,8,0,7.040210979,7.008318577,20.98307865,89.58115992,nan,0
cutin,cvar_mppi,9,0,6.096395377,5.987643412,27.30336935,98.7112784,nan,0
